agency_name,w_0,s_0,w_1,s_1,dw,ds,within_effect,mix_effect,mix_effect_uncentred,interaction_effect,total_effect,base_period,latest_period
Department of Defense,0.6019913127633089,0.579986892979744,0.6305598127923169,0.5273240697137037,0.028568500029008015,-0.052662823266040326,-0.03170256211174574,-0.003510896491752448,0.016569355568916085,-0.001504497868003517,-0.03671795647150171,2024,2025
Department of Health and Human Services,0.04031124702582811,0.9077015001523991,0.027303558900748048,0.8847774341941632,-0.013007688125080064,-0.02292406595823593,-0.0009240976856788256,-0.002664242921548177,-0.011807098024649722,0.00029818910054349765,-0.0032901515066835053,2024,2025
Department of Veterans Affairs,0.09025655322994247,0.9215525342139804,0.10043258233564656,0.9222240355411091,0.010176029105704087,0.0006715013271286763,6.060739527596638e-05,0.002225209253229215,0.009377745410596827,6.833217049380332e-06,0.0022926498655545615,2024,2025
Department of Homeland Security,0.031861640669583316,0.8775191242856265,0.036340145647261485,0.9102773672547534,0.004478504977678169,0.03275824296912688,0.001043731366449225,0.0007821183058964775,0.003929973766120966,0.00014670795419722562,0.001972557626542928,2024,2025
Agency for International Development,0.010047581598323438,0.9681313799732999,0.0052568236280972295,0.9676279908750254,-0.004790757970226208,-0.0005033890982745204,-5.0578430406197e-06,-0.001270751010577294,-0.004638083124833184,2.4116153346836423e-06,-0.0012733972382832299,2024,2025
Department of Housing and Urban Development,0.0020588811769943556,0.2990014711959237,0.0,0.5605631263241738,-0.0020588811769943556,0.26156165512825014,0.0005385243683670433,0.000831539685176348,-0.0006156085009389072,-0.0005385243683670433,0.000831539685176348,2024,2025
Department of Agriculture,0.01565221635867999,0.9011037954852245,0.012272454450815975,0.890917094101193,-0.0033797619078640134,-0.010186701384031438,-0.00015944445404412496,-0.0006699463039782269,-0.0030455162830126457,3.4428625304535076e-05,-0.0007949621327178167,2024,2025
Department of the Interior,0.010960613249476713,0.9054764460451715,0.008405894892927073,0.8859779500546519,-0.0025547183565496397,-0.01949849599051967,-0.00021371547349855846,-0.0005175746455124595,-0.002313237298134929,4.9813165632090155e-05,-0.0006814769533789278,2024,2025
Department of State,0.015730556676997274,0.7639046227288132,0.012651934034628155,0.7338603309552795,-0.0030786226423691193,-0.030044291773533738,-0.0004726134345638154,-0.00018786911703698022,-0.0023517740681433643,9.249503692794523e-05,-0.0005679875146728504,2024,2025
Department of Justice,0.012686162343395422,0.8734101531357052,0.010941337244954566,0.8526343732987139,-0.0017448250984408564,-0.020775779836991304,-0.00026356491582271295,-0.00029754377899464667,-0.0015239479564242502,3.625010209926391e-05,-0.0005248585927180958,2024,2025
Department of Education,0.0036775231376886537,0.9795444182752125,0.0032094650697061314,0.91020348019256,-0.0004680580679825223,-0.06934093808265251,-0.0002550029041879909,-0.0001294946074321256,-0.00045848366792095973,3.245558551106204e-05,-0.0003520419261090545,2024,2025
National Aeronautics and Space Administration,0.020266062446789176,0.6453873917056109,0.020240426517829507,0.6602523779674007,-2.5635928959669152e-05,0.014864986261789781,0.0003012547398520949,1.4738986405651441e-06,-1.6545105325231208e-05,-3.8107773179370073e-07,0.00030234756076086635,2024,2025
Department of Energy,0.06214160704588859,0.966576617786906,0.0622618770013831,0.9695968011327054,0.00012026995549450914,0.0030201833457994542,0.00018767904668120676,3.1714676247480026e-05,0.00011625012680326435,3.6323731658455805e-07,0.00021975696024527133,2024,2025
Department of the Treasury,0.012539759428600344,0.8744073219375826,0.01097380091973289,0.8809551974649414,-0.0015659585088674544,0.006547875527358804,8.210878388149901e-05,-0.0002686033120773354,-0.001369285586004161,-1.0253701397072489e-05,-0.0001967482295929089,2024,2025
Environmental Protection Agency,0.002986526092422997,0.9330112637347738,0.0021768664149022727,0.9298542165642829,-0.0008096596775207243,-0.003157047170490923,-9.428603749681336e-06,-0.00018632730305201338,-0.0007554215989187005,2.556133793977396e-06,-0.00019319977300771734,2024,2025
