agency_name,competition_only,configured,equal,risk_weighted,rank_spread
Agency for International Development,2.0,18.0,19.0,17.0,17.0
Department of Energy,1.0,11.0,6.0,15.0,14.0
Environmental Protection Agency,4.0,13.0,16.0,8.0,12.0
Department of Transportation,16.0,8.0,5.0,14.0,11.0
Department of the Treasury,12.0,2.0,1.0,3.0,11.0
Department of Justice,13.0,5.0,3.0,9.0,10.0
Department of Defense,19.0,16.0,10.0,18.0,9.0
Department of Agriculture,9.0,1.0,2.0,1.0,8.0
Department of Homeland Security,7.0,10.0,13.0,7.0,6.0
Department of the Interior,10.0,6.0,9.0,5.0,5.0
Department of Labor,3.0,3.0,7.0,2.0,5.0
Department of Education,8.0,9.0,11.0,6.0,5.0
General Services Administration,6.0,7.0,8.0,10.0,4.0
Social Security Administration,14.0,14.0,14.0,11.0,3.0
Department of Commerce,15.0,15.0,15.0,13.0,2.0
Department of State,17.0,17.0,17.0,16.0,1.0
Department of Veterans Affairs,5.0,4.0,4.0,4.0,1.0
Department of Health and Human Services,11.0,12.0,12.0,12.0,1.0
National Aeronautics and Space Administration,18.0,19.0,18.0,19.0,1.0
