agency_name,agency_code,agency_slug,peak_obligations,latest_obligations,is_material,years_present
Department of Defense,DOD,department-of-defense,491685487925.19,491685487925.19,True,5
Department of Veterans Affairs,VA,department-of-veterans-affairs,78313337208.43,78313337208.43,True,5
Department of Energy,DOE,department-of-energy,48549337828.87,48549337828.87,True,5
Department of Health and Human Services,HHS,department-of-health-and-human-services,34263471655.44,21290230376.02,True,5
Department of Homeland Security,DHS,department-of-homeland-security,28336601669.43,28336601669.43,True,5
General Services Administration,GSA,general-services-administration,26502128197.23,23810677070.15,True,5
National Aeronautics and Space Administration,NASA,national-aeronautics-and-space-administration,16129104644.29,15782680383.9,True,5
Department of State,DOS,department-of-state,11949724607.11,9865475459.76,True,5
Department of Agriculture,USDA,department-of-agriculture,11597506288.99,9569572358.2,True,5
Department of the Treasury,TREAS,department-of-the-treasury,10257934018.66,8556933934.18,True,5
Department of Justice,DOJ,department-of-justice,9960834896.24,8531620050.47,True,5
Department of Transportation,DOT,department-of-transportation,9022525885.22,9022525885.22,True,5
Department of the Interior,DOI,department-of-the-interior,8121263990.93,6554582845.32,True,5
Agency for International Development,USAID,agency-for-international-development,7444753388.62,4099062195.34,True,5
Department of Commerce,DOC,department-of-commerce,5185009413.32,4158787229.18,True,5
Department of Education,ED,department-of-education,2724859964.87,2502613339.39,True,5
Department of Labor,DOL,department-of-labor,2478804629.44,1754211419.51,True,5
Environmental Protection Agency,EPA,environmental-protection-agency,2212865855.25,1697433936.71,True,5
Social Security Administration,SSA,social-security-administration,1937692238.12,1746308710.84,True,5
Department of Housing and Urban Development,HUD,department-of-housing-and-urban-development,1525527557.97,-1331998929.39,True,5
Small Business Administration,SBA,small-business-administration,1153700308.19,110860869.48,True,5
National Science Foundation,NSF,national-science-foundation,775662102.55,711037984.7,False,5
Securities and Exchange Commission,SEC,securities-and-exchange-commission,701649736.64,498159347.29,False,5
Office of Personnel Management,OPM,office-of-personnel-management,537335615.43,198566615.13,False,5
Smithsonian Institution,SI,,492068915.06,427132309.7,False,5
Pension Benefit Guaranty Corporation,PBGC,pension-benefit-guaranty-corporation,394364864.13,291626660.21,False,5
Federal Communications Commission,FCC,federal-communications-commission,370700197.03,62776338.86,False,5
National Archives and Records Administration,NARA,national-archives-and-records-administration,241073877.84,207686582.24,False,5
