fiscal_year,category,rank,code,name,obligations
2021,naics,1,336411,Aircraft Manufacturing,40668580662.98
2021,naics,2,541330,Engineering Services,39586296932.9
2021,naics,3,561210,Facilities Support Services,31791942023.44
2021,naics,4,541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",29000922038.27
2021,naics,5,524114,Direct Health and Medical Insurance Carriers,26878626463.92
2021,naics,6,541512,Computer Systems Design Services,26742530232.05
2021,naics,7,236220,Commercial and Institutional Building Construction,22951506401.87
2021,naics,8,541519,Other Computer Related Services,22447492311.81
2021,naics,9,336611,Ship Building and Repairing,20735569756.09
2021,naics,10,325414,Biological Product (except Diagnostic) Manufacturing,19763339872.42
2021,naics,11,325412,Pharmaceutical Preparation Manufacturing,19528450941.91
2021,naics,12,336414,Guided Missile and Space Vehicle Manufacturing,18052288141.0
2021,naics,13,541712,"Research and Development in the Physical, Engineering, and Life Sciences (except Biotechnology)",15099117294.86
2021,naics,14,336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing,13994825167.45
2021,naics,15,541611,Administrative Management and General Management Consulting Services,13288522767.91
2021,naics,16,334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing",13194332990.18
2021,naics,17,541990,"All Other Professional, Scientific, and Technical Services",10774280130.23
2021,naics,18,541511,Custom Computer Programming Services,8602817825.08
2021,naics,19,541710,"Research and Development in the Physical, Engineering, and Life Sciences",8469019100.58
2021,naics,20,336412,Aircraft Engine and Engine Parts Manufacturing,7281450942.04
2021,naics,21,237990,Other Heavy and Civil Engineering Construction,6669164678.11
2021,naics,22,488190,Other Support Activities for Air Transportation,6581184683.08
2021,naics,23,324110,Petroleum Refineries,6479515313.05
2021,naics,24,621111,Offices of Physicians (except Mental Health Specialists),5687263470.41
2021,naics,25,336992,"Military Armored Vehicle, Tank, and Tank Component Manufacturing",5435762358.94
2021,naics,26,561612,Security Guards and Patrol Services,4957433845.15
2021,naics,27,562910,Remediation Services,4477192249.05
2021,naics,28,511210,Software Publishers,3809340613.61
2021,naics,29,334111,Electronic Computer Manufacturing,3781201013.76
2021,naics,30,624230,Emergency and Other Relief Services,3774693659.33
2021,naics,31,332993,Ammunition (except Small Arms) Manufacturing,3759219911.09
2021,naics,32,334220,Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,3747359425.65
2021,naics,33,325411,Medicinal and Botanical Manufacturing,3543103626.39
2021,naics,34,311999,All Other Miscellaneous Food Manufacturing,3240694916.89
2021,naics,35,332410,Power Boiler and Heat Exchanger Manufacturing,3107911836.89
2021,naics,36,541513,Computer Facilities Management Services,3050591607.25
2021,naics,37,518210,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",2685199568.19
2021,naics,38,621511,Medical Laboratories,2627912218.72
2021,naics,39,541714,Research and Development in Biotechnology (except Nanobiotechnology),2535013201.73
2021,naics,40,517110,Wired Telecommunications Carriers,2436776838.98
2021,naics,41,562211,Hazardous Waste Treatment and Disposal,2356108875.63
2021,naics,42,339112,Surgical and Medical Instrument Manufacturing,2319155425.61
2021,naics,43,483111,Deep Sea Freight Transportation,2314106256.28
2021,naics,44,423850,Service Establishment Equipment and Supplies Merchant Wholesalers,2184859545.1
2021,naics,45,811219,Other Electronic and Precision Equipment Repair and Maintenance,2061332323.29
2021,naics,46,325413,In-Vitro Diagnostic Substance Manufacturing,2011633164.65
2021,naics,47,481211,Nonscheduled Chartered Passenger Air Transportation,2011622892.12
2021,naics,48,331410,Nonferrous Metal (except Aluminum) Smelting and Refining,2000304503.91
2021,naics,49,423450,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers",1998708025.1
2021,naics,50,339113,Surgical Appliance and Supplies Manufacturing,1993670330.94
2021,naics,51,339999,All Other Miscellaneous Manufacturing,1925728040.34
2021,naics,52,334290,Other Communications Equipment Manufacturing,1885521167.92
2021,naics,53,237310,"Highway, Street, and Bridge Construction",1880096947.02
