fiscal_year,category,rank,code,name,obligations
2021,psc,1,6505,DRUGS AND BIOLOGICALS,43785294356.96
2021,psc,2,R425,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,27778764105.79
2021,psc,3,1510,"AIRCRAFT, FIXED WING",24388962329.19
2021,psc,4,Q201,MEDICAL- MANAGED HEALTHCARE,23092212078.17
2021,psc,5,R499,SUPPORT- PROFESSIONAL: OTHER,22809677526.61
2021,psc,6,1905,COMBAT SHIPS AND LANDING VESSELS,16556996490.2
2021,psc,7,M1JZ,OPERATION OF MISCELLANEOUS BUILDINGS,13588431467.95
2021,psc,8,R408,SUPPORT- PROFESSIONAL: PROGRAM MANAGEMENT/SUPPORT,11161864978.42
2021,psc,9,D399,IT AND TELECOM- OTHER IT AND TELECOMMUNICATIONS,10675386482.44
2021,psc,10,M181,OPER OF GOVT R&D GOCO FACILITIES,9292587579.14
2021,psc,11,1410,GUIDED MISSILES,8794922475.97
2021,psc,12,R706,SUPPORT- MANAGEMENT: LOGISTICS SUPPORT,8117717513.13
2021,psc,13,J015,MAINT/REPAIR/REBUILD OF EQUIPMENT- AIRCRAFT AND AIRFRAME STRUCTURAL COMPONENTS,6625469179.83
2021,psc,14,DA01,IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SUPPORT SERVICES (LABOR),6328747448.89
2021,psc,15,1520,"AIRCRAFT, ROTARY WING",6085864806.14
2021,psc,16,6515,"MEDICAL AND SURGICAL INSTRUMENTS, EQUIPMENT, AND SUPPLIES",5650726910.75
2021,psc,17,Q999,MEDICAL- OTHER,5433080159.14
2021,psc,18,9130,"LIQUID PROPELLANTS AND FUELS, PETROLEUM BASE",5340573033.64
2021,psc,19,2840,"GAS TURBINES AND JET ENGINES, AIRCRAFT, PRIME MOVING; AND COMPONENTS",5028141047.07
2021,psc,20,G007,SOCIAL- GOVERNMENT HEALTH INSURANCE PROGRAMS,4933064032.99
2021,psc,21,D318,"IT AND TELECOM- INTEGRATED HARDWARE/SOFTWARE/SERVICES SOLUTIONS, PREDOMINANTLY SERVICES",4567595305.47
2021,psc,22,1680,MISCELLANEOUS AIRCRAFT ACCESSORIES AND COMPONENTS,4343307629.14
2021,psc,23,Y1JZ,CONSTRUCTION OF MISCELLANEOUS BUILDINGS,4237438324.2
2021,psc,24,S206,HOUSEKEEPING- GUARD,4225855849.59
2021,psc,25,9660,PRECIOUS METALS PRIMARY FORMS,3957766104.89
2021,psc,26,AC24,NATIONAL DEFENSE R&D SERVICES; ATOMIC ENERGY DEFENSE ACTIVITIES; R&D ADMINISTRATIVE EXPENSES,3922486127.02
2021,psc,27,R799,SUPPORT- MANAGEMENT: OTHER,3889834084.13
2021,psc,28,6640,LABORATORY EQUIPMENT AND SUPPLIES,3824645124.65
2021,psc,29,8915,FRUITS AND VEGETABLES,3649576693.46
2021,psc,30,4470,NUCLEAR REACTORS,3491250578.17
2021,psc,31,4220,MARINE LIFESAVING AND DIVING EQUIPMENT,3431375803.4
2021,psc,32,2355,"COMBAT, ASSAULT, AND TACTICAL VEHICLES, WHEELED",3407569329.41
2021,psc,33,R699,SUPPORT- ADMINISTRATIVE: OTHER,3350534021.15
2021,psc,34,1420,GUIDED MISSILE COMPONENTS,3263765652.55
2021,psc,35,S216,HOUSEKEEPING- FACILITIES OPERATIONS SUPPORT,3133789290.65
2021,psc,36,M1HA,OPERATION OF GOVERNMENT-OWNED CONTRACTOR-OPERATED (GOCO) R&D FACILITIES,3017168947.19
2021,psc,37,AZ11,R&D- OTHER RESEARCH AND DEVELOPMENT (BASIC RESEARCH),3000772544.77
2021,psc,38,7030,INFORMATION TECHNOLOGY SOFTWARE,2981987021.66
2021,psc,39,AC13,NATIONAL DEFENSE R&D SERVICES; DEPARTMENT OF DEFENSE - MILITARY; EXPERIMENTAL DEVELOPMENT,2956081550.49
2021,psc,40,Q301,REFERENCE LABORATORY TESTING,2934645932.94
2021,psc,41,7A21,IT AND TELECOM - BUSINESS APPLICATION SOFTWARE (PERPETUAL LICENSE SOFTWARE),2822100008.84
2021,psc,42,5865,"ELECTRONIC COUNTERMEASURES, COUNTER-COUNTERMEASURES AND QUICK REACTION CAPABILITY EQUIPMENT",2819711515.49
2021,psc,43,R429,SUPPORT- PROFESSIONAL: EMERGENCY RESPONSE/DISASTER PLANNING/PREPAREDNESS SUPPORT,2747394757.85
2021,psc,44,F999,OTHER ENVIRONMENTAL SERVICES,2653767598.64
2021,psc,45,G099,SOCIAL- OTHER,2563274339.14
2021,psc,46,Q403,MEDICAL- EVALUATION/SCREENING,2511677813.26
2021,psc,47,Y1AA,CONSTRUCTION OF OFFICE BUILDINGS,2487041996.62
2021,psc,48,1560,AIRFRAME STRUCTURAL COMPONENTS,2461315728.92
2021,psc,49,5840,"RADAR EQUIPMENT, EXCEPT AIRBORNE",2420160953.24
2021,psc,50,J016,MAINT/REPAIR/REBUILD OF EQUIPMENT- AIRCRAFT COMPONENTS AND ACCESSORIES,2383741771.41
2021,psc,51,8905,"MEAT, POULTRY, AND FISH",2260635803.09
2021,psc,52,DA10,IT AND TELECOM - BUSINESS APPLICATION/APPLICATION DEVELOPMENT SOFTWARE AS A SERVICE,2226990113.16
2021,psc,53,R710,SUPPORT- MANAGEMENT: FINANCIAL,2179776042.34
2021,psc,54,5810,COMMUNICATIONS SECURITY EQUIPMENT AND COMPONENTS,2131724734.34
2021,psc,55,AZ12,R&D- OTHER RESEARCH AND DEVELOPMENT (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),2129474649.9
2021,psc,56,Z2AA,REPAIR OR ALTERATION OF OFFICE BUILDINGS,2077021941.72
2021,psc,57,AR22,R&D- SPACE: SCIENCE/APPLICATIONS (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT),2073155508.22
2021,psc,58,D302,IT AND TELECOM- SYSTEMS DEVELOPMENT,2013094869.72
2021,psc,59,R604,SUPPORT- ADMINISTRATIVE: MAILING/DISTRIBUTION,1971991169.9
2021,psc,60,1425,"GUIDED MISSILE SYSTEMS, COMPLETE",1957908208.48
2021,psc,61,J998,NON-NUCLEAR SHIP REPAIR (EAST),1947768593.57
2021,psc,62,D319,IT AND TELECOM- ANNUAL SOFTWARE MAINTENANCE SERVICE PLANS,1935272035.21
2021,psc,63,J999,NON-NUCLEAR SHIP REPAIR (WEST),1901761894.56
2021,psc,64,Z2JZ,REPAIR OR ALTERATION OF MISCELLANEOUS BUILDINGS,1849343526.78
2021,psc,65,1325,BOMBS,1818575760.49
2021,psc,66,J028,"MAINT/REPAIR/REBUILD OF EQUIPMENT- ENGINES, TURBINES, AND COMPONENTS",1799614106.66
2021,psc,67,M159,OPER OF GOVT OTHER INDUSTRIAL BLDG,1755884089.93
2021,psc,68,AD93,R&D- DEFENSE OTHER: OTHER (ADVANCED DEVELOPMENT),1729782250.62
2021,psc,69,V126,TRANSPORTATION/TRAVEL/RELOCATION- TRANSPORTATION: SPACE TRANSPORTATION/LAUNCH,1716132660.67
2021,psc,70,C219,ARCHITECT AND ENGINEERING- GENERAL: OTHER,1709492808.53
2021,psc,71,F108,ENVIRONMENTAL SYSTEMS PROTECTION- ENVIRONMENTAL REMEDIATION,1691955878.59
2021,psc,72,D301,IT AND TELECOM- FACILITY OPERATION AND MAINTENANCE,1690008881.96
