fiscal_year,category,rank,code,name,obligations
2021,state_territory,1,VA,Virginia,77921530461.33
2021,state_territory,2,TX,Texas,55097189841.97
2021,state_territory,3,CA,California,52103335762.91
2021,state_territory,4,MD,Maryland,39171106379.25
2021,state_territory,5,DC,District Of Columbia,31008979200.93
2021,state_territory,6,NY,New York,30829386201.62
2021,state_territory,7,FL,Florida,25671074788.88
2021,state_territory,8,MA,Massachusetts,24230999549.31
2021,state_territory,9,CT,Connecticut,18381488965.28
2021,state_territory,10,PA,Pennsylvania,17563087679.7
2021,state_territory,11,AZ,Arizona,16460421097.89
2021,state_territory,12,WA,Washington,15601001919.04
2021,state_territory,13,MO,Missouri,13278864659.83
2021,state_territory,14,AL,Alabama,13129343795.08
2021,state_territory,15,CO,Colorado,12779367326.54
2021,state_territory,16,IL,Illinois,11932834008.07
2021,state_territory,17,KY,Kentucky,11806127103.75
2021,state_territory,18,NM,New Mexico,11608936133.95
2021,state_territory,19,GA,Georgia,11135543809.68
2021,state_territory,20,TN,Tennessee,10794792727.92
2021,state_territory,21,NJ,New Jersey,8896529908.37
2021,state_territory,22,OH,Ohio,8372372075.84
2021,state_territory,23,MI,Michigan,6790739285.48
2021,state_territory,24,NC,North Carolina,6673633193.73
2021,state_territory,25,SC,South Carolina,6671868300.04
2021,state_territory,26,IN,Indiana,6294850885.57
2021,state_territory,27,WI,Wisconsin,5776762441.06
2021,state_territory,28,MS,Mississippi,4865574993.48
2021,state_territory,29,OK,Oklahoma,4515774794.28
2021,state_territory,30,UT,Utah,4022231666.87
2021,state_territory,31,LA,Louisiana,3989569119.98
2021,state_territory,32,NV,Nevada,3050847937.07
2021,state_territory,33,KS,Kansas,2918971150.87
2021,state_territory,34,ID,Idaho,2835135703.8
2021,state_territory,35,HI,Hawaii,2825854743.13
2021,state_territory,36,MN,Minnesota,2628503977.66
2021,state_territory,37,IA,Iowa,2541881384.75
2021,state_territory,38,ME,Maine,2418362685.92
2021,state_territory,39,AK,Alaska,2334751036.48
2021,state_territory,40,GU,Guam,2062828194.38
2021,state_territory,41,OR,Oregon,1790165268.06
2021,state_territory,42,NH,New Hampshire,1753350195.07
2021,state_territory,43,WV,West Virginia,1507599725.51
2021,state_territory,44,AR,Arkansas,1489254821.33
2021,state_territory,45,NE,Nebraska,1255999874.39
2021,state_territory,46,RI,Rhode Island,927785757.88
2021,state_territory,47,ND,North Dakota,779989690.06
2021,state_territory,48,PR,Puerto Rico,711545403.48
2021,state_territory,49,MT,Montana,690662757.99
2021,state_territory,50,SD,South Dakota,623642801.75
2021,state_territory,51,VT,Vermont,393542285.53
2021,state_territory,52,WY,Wyoming,389644230.35
2021,state_territory,53,DE,Delaware,321049747.83
2021,state_territory,54,,,111957513.62
2021,state_territory,55,MP,Northern Mariana Islands,76171708.75
2021,state_territory,56,VI,U.S. Virgin Islands,69276018.95
2021,state_territory,57,,,7354544.12
2021,state_territory,58,,,5900261.96
2021,state_territory,59,AS,American Samoa,3139670.14
2022,state_territory,1,VA,Virginia,89388796488.5
2022,state_territory,2,TX,Texas,67580380127.98
2022,state_territory,3,CA,California,57535356692.52
2022,state_territory,4,MD,Maryland,42110468635.21
2022,state_territory,5,DC,District Of Columbia,31619064494.38
2022,state_territory,6,NY,New York,29406826073.35
2022,state_territory,7,FL,Florida,26600630543.08
2022,state_territory,8,CT,Connecticut,22335368250.05
2022,state_territory,9,PA,Pennsylvania,19710889896.88
2022,state_territory,10,MA,Massachusetts,17913182603.82
2022,state_territory,11,AZ,Arizona,15339209697.82
2022,state_territory,12,AL,Alabama,14097173090.78
2022,state_territory,13,CO,Colorado,13985832714.2
2022,state_territory,14,IL,Illinois,13560383271.71
2022,state_territory,15,WA,Washington,12073161380.9
2022,state_territory,16,KY,Kentucky,11855222524.21
2022,state_territory,17,NM,New Mexico,11656945716.4
2022,state_territory,18,TN,Tennessee,11425260843.51
2022,state_territory,19,MO,Missouri,11153198850.63
2022,state_territory,20,NJ,New Jersey,9287794514.68
2022,state_territory,21,MI,Michigan,9042035838.34
2022,state_territory,22,NC,North Carolina,8594051729.09
2022,state_territory,23,GA,Georgia,8510091347.34
2022,state_territory,24,IN,Indiana,8165935917.13
2022,state_territory,25,OH,Ohio,7760381908.24
2022,state_territory,26,SC,South Carolina,7163068753.76
2022,state_territory,27,UT,Utah,5261077285.11
2022,state_territory,28,WI,Wisconsin,5210038493.12
2022,state_territory,29,MS,Mississippi,4994954582.33
2022,state_territory,30,OK,Oklahoma,4992438979.78
2022,state_territory,31,KS,Kansas,4202971701.61
2022,state_territory,32,LA,Louisiana,3699047161.6
2022,state_territory,33,HI,Hawaii,3519023953.42
2022,state_territory,34,AK,Alaska,3306063620.17
2022,state_territory,35,NV,Nevada,3258013960.7
2022,state_territory,36,ME,Maine,2747113789.99
2022,state_territory,37,IA,Iowa,2720761117.41
2022,state_territory,38,ID,Idaho,2456525116.48
2022,state_territory,39,MN,Minnesota,2435903705.77
2022,state_territory,40,OR,Oregon,1901588127.98
2022,state_territory,41,GU,Guam,1791541948.11
2022,state_territory,42,NH,New Hampshire,1729973969.56
2022,state_territory,43,WV,West Virginia,1499343798.45
2022,state_territory,44,PR,Puerto Rico,1495839409.88
2022,state_territory,45,AR,Arkansas,1374412851.49
2022,state_territory,46,NE,Nebraska,1306564165.94
2022,state_territory,47,RI,Rhode Island,1217229120.25
2022,state_territory,48,SD,South Dakota,1167383513.65
2022,state_territory,49,ND,North Dakota,972597485.45
2022,state_territory,50,MT,Montana,925388757.28
2022,state_territory,51,WY,Wyoming,559182583.09
2022,state_territory,52,VT,Vermont,505780381.3
2022,state_territory,53,,,228084419.03
2022,state_territory,54,MP,Northern Mariana Islands,107708429.1
2022,state_territory,55,DE,Delaware,81317836.97
2022,state_territory,56,VI,U.S. Virgin Islands,41932191.09
2022,state_territory,57,,,33855986.43
2022,state_territory,58,AS,American Samoa,13782007.84
2022,state_territory,59,,,9453372.9
2023,state_territory,1,VA,Virginia,106242558774.47
2023,state_territory,2,TX,Texas,81867958236.05
2023,state_territory,3,CA,California,61450359972.07
2023,state_territory,4,MD,Maryland,41659940030.73
2023,state_territory,5,DC,District Of Columbia,33925614223.46
2023,state_territory,6,FL,Florida,29010140076.65
2023,state_territory,7,CT,Connecticut,25996917306.55
2023,state_territory,8,PA,Pennsylvania,23264630886.78
2023,state_territory,9,AZ,Arizona,19763215578.04
2023,state_territory,10,MA,Massachusetts,18288413716.43
2023,state_territory,11,NY,New York,16493324022.27
2023,state_territory,12,MO,Missouri,15556006731.28
2023,state_territory,13,CO,Colorado,14892070569.52
2023,state_territory,14,AL,Alabama,14875916727.16
2023,state_territory,15,IL,Illinois,12986686290.33
2023,state_territory,16,WA,Washington,12980535732.75
2023,state_territory,17,KY,Kentucky,12539259227.4
2023,state_territory,18,NM,New Mexico,12363470858.49
2023,state_territory,19,TN,Tennessee,11242158971.98
2023,state_territory,20,GA,Georgia,11118488726.28
2023,state_territory,21,SC,South Carolina,10146292714.08
2023,state_territory,22,OH,Ohio,10062137859.5
2023,state_territory,23,NJ,New Jersey,9164325904.93
2023,state_territory,24,MS,Mississippi,8702580817.71
2023,state_territory,25,MI,Michigan,8392098196.37
2023,state_territory,26,NC,North Carolina,6964986405.59
2023,state_territory,27,UT,Utah,6287006252.35
2023,state_territory,28,IN,Indiana,5980188872.57
2023,state_territory,29,WI,Wisconsin,5314895353.52
2023,state_territory,30,OK,Oklahoma,4946899886.56
2023,state_territory,31,LA,Louisiana,4513702105.09
2023,state_territory,32,HI,Hawaii,4410963073.02
2023,state_territory,33,AK,Alaska,3828726515.96
2023,state_territory,34,ME,Maine,3717485535.85
2023,state_territory,35,NV,Nevada,3709340304.08
2023,state_territory,36,IA,Iowa,3374659396.69
2023,state_territory,37,ID,Idaho,3209480118.43
2023,state_territory,38,KS,Kansas,3025716565.87
2023,state_territory,39,MN,Minnesota,2726225537.73
2023,state_territory,40,OR,Oregon,2548651655.01
2023,state_territory,41,GU,Guam,2360355769.06
2023,state_territory,42,PR,Puerto Rico,2034414498.45
2023,state_territory,43,NE,Nebraska,2031302278.87
2023,state_territory,44,NH,New Hampshire,1905142957.84
2023,state_territory,45,WV,West Virginia,1717142990.47
2023,state_territory,46,AR,Arkansas,1342059248.66
2023,state_territory,47,SD,South Dakota,1020590135.74
2023,state_territory,48,RI,Rhode Island,1018506430.32
2023,state_territory,49,MT,Montana,1000908470.9
2023,state_territory,50,ND,North Dakota,802955256.4
2023,state_territory,51,WY,Wyoming,469953941.17
2023,state_territory,52,VT,Vermont,423928615.93
2023,state_territory,53,,,411442591.24
2023,state_territory,54,DE,Delaware,325435387.89
2023,state_territory,55,MP,Northern Mariana Islands,318682212.98
2023,state_territory,56,,,151309397.69
2023,state_territory,57,VI,U.S. Virgin Islands,26676547.97
2023,state_territory,58,,,17828689.89
2023,state_territory,59,AS,American Samoa,5276215.67
2024,state_territory,1,VA,Virginia,109903270918.31
2024,state_territory,2,CA,California,61719345263.91
2024,state_territory,3,TX,Texas,59273241968.82
2024,state_territory,4,MD,Maryland,46277895813.61
2024,state_territory,5,DC,District Of Columbia,35962041019.82
