subagency_key,subagency_name,agency_name,subagency_code,latest_obligations,is_military_department
Department of Defense | Department of the Navy,Department of the Navy,Department of Defense,USN,176556016948.94,True
Department of Defense | Department of the Army,Department of the Army,Department of Defense,USA,107445020217.29,True
Department of Defense | Department of the Air Force,Department of the Air Force,Department of Defense,USAF,98454625873.36,True
Department of Veterans Affairs | Department of Veterans Affairs,Department of Veterans Affairs,Department of Veterans Affairs,VA,78314110146.96,False
Department of Defense | Defense Logistics Agency,Defense Logistics Agency,Department of Defense,DLA,55942798944.97,False
Department of Energy | Department of Energy,Department of Energy,Department of Energy,DOE,48394135976.05,False
General Services Administration | Federal Acquisition Service,Federal Acquisition Service,General Services Administration,FAS,20028778246.8,False
Department of Defense | Defense Health Agency,Defense Health Agency,Department of Defense,DHA,18443313478.77,False
National Aeronautics and Space Administration | National Aeronautics and Space Administration,National Aeronautics and Space Administration,National Aeronautics and Space Administration,NASA,15782664933.95,False
Department of Homeland Security | U.S. Customs and Border Protection,U.S. Customs and Border Protection,Department of Homeland Security,CBP,10175186391.52,False
Department of State | Department of State,Department of State,Department of State,DOS,9715026549.45,False
Department of Defense | Missile Defense Agency,Missile Defense Agency,Department of Defense,MDA,9084034890.02,False
Department of Health and Human Services | Centers for Medicare and Medicaid Services,Centers for Medicare and Medicaid Services,Department of Health and Human Services,CMS,7865096815.71,False
Department of Defense | Defense Information Systems Agency,Defense Information Systems Agency,Department of Defense,DISA,7160146340.37,False
Department of Transportation | Federal Aviation Administration,Federal Aviation Administration,Department of Transportation,FAA,6034088729.88,False
Department of Health and Human Services | National Institutes of Health,National Institutes of Health,Department of Health and Human Services,NIH,5820297074.97,False
Department of Defense | USTRANSCOM,USTRANSCOM,Department of Defense,,4812611086.91,False
Department of Defense | U.S. Special Operations Command,U.S. Special Operations Command,Department of Defense,USSOCOM,4297156298.44,False
Agency for International Development | Agency for International Development,Agency for International Development,Agency for International Development,USAID,4098524898.06,False
Department of Homeland Security | U.S. Immigration and Customs Enforcement,U.S. Immigration and Customs Enforcement,Department of Homeland Security,ICE,3988661487.38,False
Department of the Treasury | Internal Revenue Service,Internal Revenue Service,Department of the Treasury,IRS,3922888733.98,False
Department of Homeland Security | Office of Procurement Operations,Office of Procurement Operations,Department of Homeland Security,OPO,3855335713.85,False
Department of Agriculture | Agricultural Marketing Service,Agricultural Marketing Service,Department of Agriculture,AMS,3668522132.66,False
General Services Administration | Public Buildings Service,Public Buildings Service,General Services Administration,PBS,3542930352.37,False
Department of Agriculture | Forest Service,Forest Service,Department of Agriculture,FS,3513973188.33,False
Department of Homeland Security | U.S. Coast Guard,U.S. Coast Guard,Department of Homeland Security,USCG,3493673027.61,False
Department of Defense | Washington Headquarters Services,Washington Headquarters Services,Department of Defense,WHS,2655313522.28,False
Department of Homeland Security | Federal Emergency Management Agency,Federal Emergency Management Agency,Department of Homeland Security,FEMA,2597426845.86,False
Department of the Treasury | United States Mint,United States Mint,Department of the Treasury,USMINT,2513697832.6,False
Department of Education | Department of Education,Department of Education,Department of Education,ED,2502613339.39,False
Department of the Interior | Departmental Offices,Departmental Offices,Department of the Interior,,2187329703.56,False
Department of Commerce | National Oceanic and Atmospheric Administration,National Oceanic and Atmospheric Administration,Department of Commerce,NOAA,2080889551.68,False
Department of Justice | Federal Bureau of Investigation,Federal Bureau of Investigation,Department of Justice,FBI,2062150907.2,False
Department of Justice | Federal Prison System / Bureau of Prisons,Federal Prison System / Bureau of Prisons,Department of Justice,,2046476791.42,False
