agency_name,obligations,obligations_real,competed_share,not_competed_obligations,government_risk_share,government_risk_obligations,september_share,september_excess_obligations,vendor_hhi,vendor_cr4,change_pct_real,real_growth_robust_z,real_growth_is_outlier,efficiency_index,rank,quartile,quadrant,is_priority,obligations_median_cut,not_competed_obligations_median_cut,exposure_upper_bound
Department of Defense,491685487925.19,491685487925.19,0.5273240697137037,232407862797.14,0.3039715338607013,149458393479.97,0.18780022185191955,51364853053.2875,99.44765133031814,0.15579336971073043,7.418129890620549,0.8858991832659735,False,57.49981317246062,16.0,Q4 (lowest),High spend / high non-competed exposure,True,8556933934.18,1043877510.5500011,232407862797.14
Department of Veterans Affairs,78313337208.43,78313337208.43,0.9222240355411091,6090895331.37999,0.015523591296261808,1215704239.87,0.1294347775141022,3610357943.9241667,1234.2020885646298,0.594422438522375,14.113600330418066,1.1611375742164851,False,75.33706761836528,4.0,Q1 (highest),High spend / high non-competed exposure,True,8556933934.18,1043877510.5500011,6090895331.37999
National Aeronautics and Space Administration,15782680383.9,15782680383.9,0.6602523779674007,5362147082.110001,0.6680646549020811,10543850924.1,0.20939355357606027,1989568165.215,449.8998110526246,0.35778272664510785,2.421658994823657,0.6805035173220303,False,41.4305228237742,19.0,Q4 (lowest),High spend / high non-competed exposure,True,8556933934.18,1043877510.5500011,10543850924.1
Department of State,9865475459.76,9865475459.76,0.7338603309552795,2625624352.6399994,0.3374302475626265,3335528392.3300004,0.30932089328862783,2229474726.95,131.0400642807073,0.15762365710327658,-17.518917940722105,-0.13921667406910368,False,53.00888388301983,17.0,Q4 (lowest),High spend / high non-competed exposure,True,8556933934.18,1043877510.5500011,3335528392.3300004
Department of Homeland Security,28336601669.43,28336601669.43,0.9102773672547534,2542209657.2800026,0.1983370344922884,5622671104.179999,0.42634656050846825,9719829185.8075,184.73019663278234,0.19555208664340393,16.966111145849094,1.278399011492267,False,69.55949571159758,10.0,Q3,High spend / high non-competed exposure,True,8556933934.18,1043877510.5500011,9719829185.8075
Department of Health and Human Services,21290230376.02,21290230376.02,0.8847774341941632,2453442194.4399986,0.4919830632013208,10483489599.630001,0.2843871031184145,4280481076.6916666,79.63380313209623,0.12944817601570752,-30.540036846623224,-0.6744907594765952,False,66.65212762712753,12.0,Q3,High spend / high non-competed exposure,True,8556933934.18,1043877510.5500011,10483489599.630001
General Services Administration,23810677070.15,23810677070.15,0.9205094913612183,1892722831.3400002,0.5500608657813759,13097487229.86,0.17833108294527175,2261960738.400833,225.38451109359738,0.22452541751078905,-12.449185700684847,0.06919063006948152,False,71.62769647220323,7.0,Q2,High spend / high non-competed exposure,True,8556933934.18,1043877510.5500011,13097487229.86
Department of Transportation,9022525885.22,9022525885.22,0.8147057949081218,1671866509.2299995,0.35846114279882996,3235251997.94,0.21095660865411744,1151484305.1383333,161.07611154296217,0.15774445854807279,2.6533518498497988,0.690027981537879,False,69.92117429750411,8.0,Q2,High spend / high non-competed exposure,True,8556933934.18,1043877510.5500011,3235251997.94
Department of Energy,48549337828.87,48549337828.87,0.9695968011327054,1476094088.6299973,0.9675499205666308,46976428751.2,0.08758662048303321,206785552.0208335,515.1999297790007,0.35383094214057226,2.7498630005751488,0.6939953762225805,False,67.230776224522,11.0,Q3,High spend / high non-competed exposure,True,8556933934.18,1043877510.5500011,46976428751.2
Department of Agriculture,9569572358.2,9569572358.2,0.890917094101193,1043877510.5500011,0.018366179849580378,175762609.71,0.2091411420610705,1203926928.8466666,39.569893651233635,0.07434250682376536,-19.592398224275488,-0.2244536088064487,False,84.12950078214752,1.0,Q1 (highest),High spend / high non-competed exposure,True,8556933934.18,1043877510.5500011,1203926928.8466666
Department of Justice,8531620050.47,8531620050.47,0.8526343732987139,1257245304.4300003,0.3377806476064582,2881816145.78,0.18272499825330585,847971921.2808332,94.3448078506255,0.12457198620342348,-11.55329415096467,0.10601907264544473,False,74.92766630450518,5.0,Q1 (highest),Low spend / high non-competed exposure,False,8556933934.18,1043877510.5500011,2881816145.78
Department of the Treasury,8556933934.18,8556933934.18,0.8809551974649414,1018658510.5,0.08606657557542245,736466001.14,0.15698947829129536,630270766.2516665,370.83772099314274,0.2844732493290271,-10.255179112387323,0.15938217800141363,False,80.94800564624603,2.0,Q1 (highest),High spend / low non-competed exposure,False,8556933934.18,1043877510.5500011,1018658510.5
Department of the Interior,6554582845.32,6554582845.32,0.8859779500546519,747366972.5599995,0.21520888754042727,1410604554.3600001,0.21083262381322965,835704662.17,75.79531914778062,0.1357222562523838,-21.35146737208852,-0.29676568398744063,False,74.84278470583021,6.0,Q2,Low spend / low non-competed exposure,False,8556933934.18,1043877510.5500011,1410604554.3600001
Department of Commerce,4158787229.18,4158787229.18,0.8345787105978861,687951945.8000002,0.3770948451862619,1568260997.31,0.23271245985114375,621236003.6683333,104.1357367696623,0.13991240421903675,-21.839676597175387,-0.31683506115344134,False,63.76841045767958,15.0,Q4 (lowest),Low spend / low non-competed exposure,False,8556933934.18,1043877510.5500011,1568260997.31
Social Security Administration,1746308710.84,1746308710.84,0.8368112688031423,284977902.79999995,0.047044582313882415,82156386.66,0.41130750749934797,572744157.2766666,442.7679663697182,0.32978151726276594,-9.232005556168419,0.20144294816072755,False,64.75846520030234,14.0,Q3,Low spend / low non-competed exposure,False,8556933934.18,1043877510.5500011,572744157.2766666
Department of Education,2502613339.39,2502613339.39,0.91020348019256,224725968.2999997,0.012584782782416629,31500197.799999997,0.2851580842384331,505089313.83416665,831.4262347574515,0.49558063344388004,-10.500880596301256,0.14928184499349592,False,69.60869438043329,9.0,Q2,Low spend / low non-competed exposure,False,8556933934.18,1043877510.5500011,505089313.83416665
Agency for International Development,4099062195.34,4099062195.34,0.9676279908750254,132696439.03999996,0.9140844895479995,3747046283.73,0.1387540011398407,235474452.60000002,1210.2439258394616,0.5461542301248998,-46.345841601960075,-1.3242381234076683,False,44.467023842789196,18.0,Q4 (lowest),Low spend / low non-competed exposure,False,8556933934.18,1043877510.5500011,3747046283.73
Environmental Protection Agency,1697433936.71,1697433936.71,0.9298542165642829,119071157.35000014,0.4622337591003683,784611269.39,0.21634287228389462,225774905.32083333,291.9567687394129,0.28212159948220433,-25.25072438579445,-0.45705691908508567,False,65.71339232717554,13.0,Q3,Low spend / low non-competed exposure,False,8556933934.18,1043877510.5500011,784611269.39
Department of Housing and Urban Development,-1331998929.39,-1331998929.39,0.5605631263241738,63817180.94,0.19824776740410238,37238216.77,0.2908455236112377,167512415.07666665,386.5962532468721,0.30435984576089326,-185.085002035345,-7.027548088385213,True,,,,Low spend / low non-competed exposure,False,8556933934.18,1043877510.5500011,167512415.07666665
Department of Labor,1754211419.51,1754211419.51,0.9660001081245613,59642998.589999914,0.20620755171707408,365450064.21999997,0.233375092995907,267485582.47166663,346.7163884474085,0.30835136818405395,-21.939126929380357,-0.3209232801459245,False,78.50463709329898,3.0,Q1 (highest),Low spend / low non-competed exposure,False,8556933934.18,1043877510.5500011,365450064.21999997
Small Business Administration,110860869.48,110860869.48,0.8445282941854777,17551248.379999995,0.08627356420382508,10830353.11,0.0,0.0,4877.680188627539,1.0187619330405417,-67.85744151813935,-2.2085401602753576,False,,,,Low spend / low non-competed exposure,False,8556933934.18,1043877510.5500011,17551248.379999995
