fiscal_year,agency_name,subagency_name,subagency_code,obligations,competed_obligations,competed_share,not_competed_obligations,subagency_key
2021,Agency for International Development,Agency for International Development,USAID,5483257661.31,5261687251.3,0.9595914648378816,221570410.01000023,Agency for International Development | Agency for International Development
2021,Department of Agriculture,Agricultural Marketing Service,AMS,5672257210.63,5620825948.45,0.9909328402661967,51431262.180000305,Department of Agriculture | Agricultural Marketing Service
2021,Department of Agriculture,Forest Service,FS,1860292677.59,1371211725.58,0.7370946207004363,489080952.01,Department of Agriculture | Forest Service
2021,Department of Agriculture,Office of the Chief Financial Officer,OCFO,1121273418.76,976319780.58,0.8707240930224655,144953638.17999995,Department of Agriculture | Office of the Chief Financial Officer
2021,Department of Agriculture,Agricultural Research Service,ARS,299740994.52,221832329.5,0.7400800476265799,77908665.01999998,Department of Agriculture | Agricultural Research Service
2021,Department of Agriculture,Under Secretary for Farm and Foreign Agricultural Services,,236487109.36,199197365.2,0.8423180685792284,37289744.160000026,Department of Agriculture | Under Secretary for Farm and Foreign Agricultural Services
2021,Department of Agriculture,Animal and Plant Health Inspection Service,APHIS,229596468.16,165337628.98,0.7201227018212683,64258839.18000001,Department of Agriculture | Animal and Plant Health Inspection Service
2021,Department of Agriculture,Rural Housing Service,RHS,121401889.05,96982118.69,0.7988518090526369,24419770.36,Department of Agriculture | Rural Housing Service
2021,Department of Agriculture,Food and Nutrition Service,FNS,110627756.56,107485311.13,0.97159442143893,3142445.430000007,Department of Agriculture | Food and Nutrition Service
2021,Department of Agriculture,Food Safety and Inspection Service,FSIS,61676267.0,52082325.9,0.8444467934481183,9593941.100000001,Department of Agriculture | Food Safety and Inspection Service
2021,Department of Agriculture,Office of the Inspector General,OIG,9151429.38,8056724.12,0.8803787676718103,1094705.2600000007,Department of Agriculture | Office of the Inspector General
2021,Department of Agriculture,Farm Service Agency,FSA,3693711.41,4355915.96,1.179278908527399,-662204.5499999998,Department of Agriculture | Farm Service Agency
2021,Department of Agriculture,Natural Resources Conservation Service,NRCS,3170048.95,2189314.88,0.6906249444507788,980734.0700000003,Department of Agriculture | Natural Resources Conservation Service
2021,Department of Commerce,National Oceanic and Atmospheric Administration,NOAA,1811479729.64,1389702718.02,0.7671643768799881,421777011.6200001,Department of Commerce | National Oceanic and Atmospheric Administration
