agency_name,efficiency_index,rank,obligations,score_p05,score_p95,rank_best,rank_worst,quartile_verdict,band_low,band_high,is_robust
Department of Agriculture,84.12950078214752,1.0,9569572358.2,69.90840156047776,92.26739371291147,1.0,12.0,robustly top quartile,14.22109922166976,8.137892930763954,True
Department of the Treasury,80.94800564624603,2.0,8556933934.18,76.47492774499808,86.89475921607438,1.0,13.0,robustly top quartile,4.473077901247947,5.946753569828346,True
Department of Labor,78.50463709329898,3.0,1754211419.51,59.96094769685064,84.71930657183455,1.0,15.0,not separable,18.543689396448343,6.214669478535569,False
Department of Veterans Affairs,75.33706761836528,4.0,78313337208.43,45.270639106229396,94.93779584450682,1.0,19.0,not separable,30.066428512135886,19.60072822614154,False
Department of Justice,74.92766630450518,5.0,8531620050.47,69.40629344618723,86.38466226155153,1.0,14.0,not separable,5.521372858317946,11.456995957046345,False
Department of the Interior,74.84278470583021,6.0,6554582845.32,51.22221350311678,83.94270138620053,2.0,16.0,not separable,23.620571202713435,9.099916680370313,False
General Services Administration,71.62769647220323,7.0,23810677070.15,58.417265718577596,81.52708911479357,2.0,16.0,not separable,13.21043075362563,9.899392642590342,False
Department of Transportation,69.92117429750411,8.0,9022525885.22,63.417261711595756,87.10472858056788,1.0,16.0,not separable,6.503912585908353,17.18355428306377,False
Department of Education,69.60869438043329,9.0,2502613339.39,48.63274088525631,81.96943027072801,2.0,19.0,not separable,20.97595349517698,12.36073589029472,False
Department of Homeland Security,69.55949571159758,10.0,28336601669.43,38.72621622943021,80.64876017012959,2.0,19.0,not separable,30.83327948216737,11.089264458532014,False
Department of Energy,67.230776224522,11.0,48549337828.87,41.15831417296353,93.26450552673859,1.0,18.0,not separable,26.072462051558475,26.033729302216585,False
Department of Health and Human Services,66.65212762712753,12.0,21290230376.02,53.094626245023285,79.82948423163958,2.0,17.0,not separable,13.557501382104242,13.177356604512056,False
Environmental Protection Agency,65.71339232717554,13.0,1697433936.71,34.11254108775795,75.64154038593011,3.0,19.0,not separable,31.600851239417594,9.928148058754573,False
Social Security Administration,64.75846520030234,14.0,1746308710.84,37.327562169155584,82.94610406529681,1.0,19.0,not separable,27.430903031146755,18.18763886499447,False
Department of Commerce,63.76841045767958,15.0,4158787229.18,44.302101790242105,77.03264757410238,4.0,18.0,not separable,19.466308667437474,13.264237116422805,False
Department of Defense,57.49981317246062,16.0,491685487925.19,39.09889863280499,86.36998096261769,1.0,19.0,not separable,18.40091453965563,28.87016779015707,False
Department of State,53.00888388301983,17.0,9865475459.76,39.196792914802,71.32517128566491,7.0,19.0,robustly bottom quartile,13.812090968217824,18.31628740264508,True
Agency for International Development,44.467023842789196,18.0,4099062195.34,9.86778982104331,72.88472831821433,2.0,19.0,robustly bottom quartile,34.599234021745886,28.417704475425133,True
National Aeronautics and Space Administration,41.4305228237742,19.0,15782680383.9,29.885153563662225,71.83258224436976,5.0,19.0,not separable,11.545369260111972,30.402059420595563,False
