fiscal_year,series,competed_share,obligations,rate_pct
2021,Department of the Air Force,0.4704797595901487,79273845788.5,47.04797595901487
2022,Department of the Air Force,0.49408016564481433,78776618954.97,49.408016564481436
2023,Department of the Air Force,0.45661889357701896,92498051362.27,45.661889357701895
2024,Department of the Air Force,0.4638079243271766,99924139407.97,46.38079243271766
2025,Department of the Air Force,0.4962397717433186,98454625873.36,49.62397717433186
2021,Department of the Army,0.4917307868290413,109457332462.27,49.17307868290413
2022,Department of the Army,0.6630417783173738,112342518924.6,66.30417783173738
2023,Department of the Army,0.6046178065851608,111651976835.24,60.46178065851608
2024,Department of the Army,0.6149694473384673,103995055988.58,61.496944733846725
2025,Department of the Army,0.551029865138903,107445020217.29,55.10298651389029
2021,Department of the Navy,0.4306509392814512,111745734415.87,43.06509392814512
2022,Department of the Navy,0.4347893902197011,123926123200.99,43.478939021970106
2023,Department of the Navy,0.3926672750887318,151875042270.39,39.26672750887318
2024,Department of the Navy,0.4575656525562912,134967361420.78,45.75656525562912
2025,Department of the Navy,0.36580158604579205,176556016948.94,36.5801586045792
