agency_name,rate,measure,sort_order,rate_pct,sort_by_adjusted,reference_coverage
Agency for International Development,0.9669720675661359,Observed,0,96.69720675661358,0.9082322835998538,0.994865286224129
General Services Administration,0.9150560062679108,Observed,0,91.50560062679108,0.8808854764652411,1.0
Department of Homeland Security,0.9060901582652323,Observed,0,90.60901582652323,0.8417736700016389,1.0
Department of Veterans Affairs,0.9226719284980056,Observed,0,92.26719284980057,0.8268148601823158,0.994865286224129
Department of Justice,0.8530978174176795,Observed,0,85.30978174176795,0.8260844581746563,1.0
Department of Education,0.9105133887458381,Observed,0,91.0513388745838,0.8233155201799885,0.8236251129082005
Department of Energy,0.96957357299552,Observed,0,96.957357299552,0.8135574173973785,0.9784258391677362
Department of Health and Human Services,0.8834975846780658,Observed,0,88.34975846780658,0.8082319294583072,0.994865286224129
Department of Agriculture,0.8908033753783978,Observed,0,89.08033753783978,0.8056097332511549,0.9784258391677362
Department of Labor,0.964351995100286,Observed,0,96.4351995100286,0.8039118933644657,0.9397549693451831
Environmental Protection Agency,0.9305328799523411,Observed,0,93.05328799523411,0.7997927909488698,0.9784258391677362
Department of Transportation,0.8150887825177413,Observed,0,81.50887825177414,0.7902386795863381,1.0
Department of the Interior,0.8878565133932685,Observed,0,88.78565133932685,0.7867946833767075,0.994865286224129
Social Security Administration,0.8386956085901957,Observed,0,83.86956085901957,0.7718516757832625,0.9241737539261168
Department of the Treasury,0.8812422823207228,Observed,0,88.12422823207228,0.7341675557728718,1.0
Department of Commerce,0.8346166084040352,Observed,0,83.46166084040351,0.7310048543090912,1.0
Department of State,0.733324992096388,Observed,0,73.3324992096388,0.70566337272504,1.0
National Aeronautics and Space Administration,0.6605112250659843,Observed,0,66.05112250659843,0.6516166901183384,0.9835605529436073
Department of Defense,0.5092637319041664,Observed,0,50.92637319041664,0.5701359600103784,0.9835605529436073
Agency for International Development,0.9082322835998538,Portfolio-adjusted,1,90.82322835998538,0.9082322835998538,0.994865286224129
General Services Administration,0.8808854764652411,Portfolio-adjusted,1,88.0885476465241,0.8808854764652411,1.0
Department of Homeland Security,0.8417736700016389,Portfolio-adjusted,1,84.1773670001639,0.8417736700016389,1.0
Department of Veterans Affairs,0.8268148601823158,Portfolio-adjusted,1,82.68148601823158,0.8268148601823158,0.994865286224129
Department of Justice,0.8260844581746563,Portfolio-adjusted,1,82.60844581746562,0.8260844581746563,1.0
Department of Education,0.8233155201799885,Portfolio-adjusted,1,82.33155201799886,0.8233155201799885,0.8236251129082005
Department of Energy,0.8135574173973785,Portfolio-adjusted,1,81.35574173973785,0.8135574173973785,0.9784258391677362
Department of Health and Human Services,0.8082319294583072,Portfolio-adjusted,1,80.82319294583073,0.8082319294583072,0.994865286224129
Department of Agriculture,0.8056097332511549,Portfolio-adjusted,1,80.5609733251155,0.8056097332511549,0.9784258391677362
Department of Labor,0.8039118933644657,Portfolio-adjusted,1,80.39118933644657,0.8039118933644657,0.9397549693451831
Environmental Protection Agency,0.7997927909488698,Portfolio-adjusted,1,79.97927909488698,0.7997927909488698,0.9784258391677362
Department of Transportation,0.7902386795863381,Portfolio-adjusted,1,79.02386795863382,0.7902386795863381,1.0
Department of the Interior,0.7867946833767075,Portfolio-adjusted,1,78.67946833767076,0.7867946833767075,0.994865286224129
Social Security Administration,0.7718516757832625,Portfolio-adjusted,1,77.18516757832626,0.7718516757832625,0.9241737539261168
Department of the Treasury,0.7341675557728718,Portfolio-adjusted,1,73.41675557728719,0.7341675557728718,1.0
Department of Commerce,0.7310048543090912,Portfolio-adjusted,1,73.10048543090912,0.7310048543090912,1.0
Department of State,0.70566337272504,Portfolio-adjusted,1,70.566337272504,0.70566337272504,1.0
National Aeronautics and Space Administration,0.6516166901183384,Portfolio-adjusted,1,65.16166901183385,0.6516166901183384,0.9835605529436073
Department of Defense,0.5701359600103784,Portfolio-adjusted,1,57.01359600103784,0.5701359600103784,0.9835605529436073
