agency_name,score_mean,score_p05,score_p95,rank_median,rank_best,rank_worst,rank_iqr,pct_draws_in_bottom_quartile,pct_draws_in_top_quartile,rank_is_stable,quartile_confidence_pct,quartile_verdict
Department of Agriculture,81.0627822210371,69.90840156047776,92.26739371291147,3.0,1.0,12.0,5.0,0.0,71.2,False,71.2,robustly top quartile
Department of the Treasury,81.34828314647356,76.47492774499808,86.89475921607438,3.0,1.0,13.0,3.0,0.0,82.8,True,82.8,robustly top quartile
Department of Veterans Affairs,75.94658846907315,45.270639106229396,94.93779584450682,4.0,1.0,19.0,11.0,18.05,54.800000000000004,False,54.800000000000004,not separable
Department of Justice,77.40551215661681,69.40629344618723,86.38466226155153,5.0,1.0,14.0,4.0,0.0,59.699999999999996,False,59.699999999999996,not separable
Department of Energy,72.02826767102447,41.15831417296353,93.26450552673859,7.0,1.0,18.0,12.0,22.35,43.7,False,43.7,not separable
Department of Transportation,74.91234375032134,63.417261711595756,87.10472858056788,7.0,1.0,16.0,6.0,2.55,38.95,False,38.95,not separable
Department of Labor,72.27920563612372,59.96094769685064,84.71930657183455,8.0,1.0,15.0,6.0,0.3,27.250000000000004,False,27.250000000000004,not separable
General Services Administration,71.51510252523767,58.417265718577596,81.52708911479357,8.0,2.0,16.0,5.0,4.65,21.2,False,21.2,not separable
Department of Defense,67.28532232179705,39.09889863280499,86.36998096261769,9.0,1.0,19.0,9.0,23.849999999999998,26.55,False,26.55,not separable
Department of the Interior,69.84161365738076,51.22221350311678,83.94270138620053,9.0,2.0,16.0,6.0,12.15,22.25,False,22.25,not separable
Department of Homeland Security,64.69823713781314,38.72621622943021,80.64876017012959,11.0,2.0,19.0,8.0,25.95,11.15,False,25.95,not separable
Social Security Administration,63.50846129738377,37.327562169155584,82.94610406529681,12.0,1.0,19.0,9.0,36.0,15.9,False,36.0,not separable
Department of Health and Human Services,65.42375540025583,53.094626245023285,79.82948423163958,12.0,2.0,17.0,4.0,12.6,4.35,False,12.6,not separable
Department of Education,65.1608790302718,48.63274088525631,81.96943027072801,12.0,2.0,19.0,7.0,29.95,15.35,False,29.95,not separable
Environmental Protection Agency,58.256460209265946,34.11254108775795,75.64154038593011,14.0,3.0,19.0,6.0,46.45,1.25,False,46.45,not separable
Department of Commerce,60.743073752537846,44.302101790242105,77.03264757410238,14.0,4.0,18.0,5.0,39.800000000000004,0.6,False,39.800000000000004,not separable
National Aeronautics and Space Administration,52.32479463630622,29.885153563662225,71.83258224436976,16.0,5.0,19.0,4.25,67.05,0.5,False,67.05,not separable
Department of State,53.615753834158234,39.196792914802,71.32517128566491,16.0,7.0,19.0,2.0,75.05,0.0,True,75.05,robustly bottom quartile
Agency for International Development,38.918969929811645,9.86778982104331,72.88472831821433,19.0,2.0,19.0,3.0,83.25,2.5,True,83.25,robustly bottom quartile
