fiscal_year,fiscal_month,month_name,obligations,annual_total,share,index_vs_even_pace
2021,1,Oct,39759526406.87,633497353818.84,0.06276194551909677,75.31433462291612
2021,2,Nov,34614464619.57,633497353818.84,0.054640267099629644,65.56832051955557
2021,3,Dec,46672443944.2,633497353818.84,0.07367425240665934,88.40910288799121
2021,4,Jan,56952915123.88,633497353818.84,0.08990237256802609,107.88284708163131
2021,5,Feb,52369660007.74,633497353818.84,0.08266752764166407,99.20103316999689
2021,6,Mar,71380698226.42,633497353818.84,0.11267718451564772,135.21262141877725
2021,7,Apr,43785536129.14,633497353818.84,0.06911715710443404,82.94058852532085
2021,8,May,37963958556.36,633497353818.84,0.05992757243184394,71.91308691821273
2021,9,Jun,46089270442.71,633497353818.84,0.07275369054799566,87.30442865759478
2021,10,Jul,49183091684.99,633497353818.84,0.07763740667345359,93.1648880081443
2021,11,Aug,47502295640.19,633497353818.84,0.07498420530699508,89.9810463683941
2021,12,Sep,107223493036.77,633497353818.84,0.16925641818455409,203.1077018214649
2022,1,Oct,35022848578.689995,680574641185.36,0.051460701676586916,61.7528420119043
2022,2,Nov,41914566196.76,680574641185.36,0.061587023171708555,73.90442780605026
2022,3,Dec,56234931359.39,680574641185.36,0.08262860229620862,99.15432275545035
2022,4,Jan,43958415333.36,680574641185.36,0.0645901458461594,77.50817501539127
2022,5,Feb,34458966447.67,680574641185.36,0.05063216341363037,60.75859609635644
2022,6,Mar,56415874406.94,680574641185.36,0.08289447033859536,99.47336440631443
2022,7,Apr,55164586507.950005,680574641185.36,0.08105589478307565,97.26707373969077
2022,8,May,57597849436.56,680574641185.36,0.08463120126874189,101.55744152249027
2022,9,Jun,63659666866.4,680574641185.36,0.09353811178671552,112.24573414405863
2022,10,Jul,48723228742.8,680574641185.36,0.07159130798341021,85.90956958009225
2022,11,Aug,65354657735.65,680574641185.36,0.09602864077013139,115.23436892415766
2022,12,Sep,122069049573.19,680574641185.36,0.17936173666503616,215.2340839980434
2023,1,Oct,40889092402.03,747005788910.72,0.05473731664336131,65.68477997203357
2023,2,Nov,37862896559.78,747005788910.72,0.05068621571861107,60.82345886233329
2023,3,Dec,59435187519.67,747005788910.72,0.07956456081329448,95.47747297595338
2023,4,Jan,61002353738.43,747005788910.72,0.08166249130061404,97.99498956073684
2023,5,Feb,57856476310.93,747005788910.72,0.07745117530520884,92.94141036625061
2023,6,Mar,77361258597.84,747005788910.72,0.10356179262097526,124.27415114517031
2023,7,Apr,57640904805.170006,747005788910.72,0.07716259453520659,92.59511344224791
2023,8,May,52482132898.42,747005788910.72,0.07025666156476401,84.30799387771681
2023,9,Jun,59075782229.57,747005788910.72,0.07908343296203099,94.9001195544372
2023,10,Jul,53067137226.16,747005788910.72,0.0710397938194592,85.24775258335104
2023,11,Aug,69016354532.88,747005788910.72,0.0923906555443423,110.86878665321076
2023,12,Sep,121316212089.84,747005788910.72,0.16240330917213194,194.8839710065583
2024,1,Oct,35968846362.95,741071945752.99,0.048536240737601655,58.243488885121984
2024,2,Nov,43214154235.07,741071945752.99,0.05831303489860336,69.97564187832404
2024,3,Dec,64931247218.8,741071945752.99,0.08761800738904577,105.14160886685491
2024,4,Jan,36344016191.6,741071945752.99,0.0490424936470527,58.85099237646324
2024,5,Feb,45112747563.12,741071945752.99,0.060874990372603764,73.04998844712452
2024,6,Mar,54305776174.61,741071945752.99,0.07328003237179741,87.93603884615689
2024,7,Apr,59792717866.42,741071945752.99,0.08068409310200737,96.82091172240885
2024,8,May,65393153148.14,741071945752.99,0.08824130170208398,105.88956204250077
2024,9,Jun,71954476972.45,741071945752.99,0.09709513008124783,116.5141560974974
2024,10,Jul,67026693867.52,741071945752.99,0.09044559607423186,108.53471528907824
2024,11,Aug,66389607967.08,741071945752.99,0.08958591449528251,107.50309739433901
2024,12,Sep,130638508185.23,741071945752.99,0.1762831651284418,211.53979815413018
2025,1,Oct,48725178606.4,780955927779.5801,0.06239171363348993,74.8700563601879
2025,2,Nov,44862673607.17,780955927779.5801,0.057445845548191043,68.93501465782926
2025,3,Dec,63145331155.63,780955927779.5801,0.08085645925649773,97.02775110779727
2025,4,Jan,55508602243.97,780955927779.5801,0.07107776542754786,85.29331851305744
2025,5,Feb,45656189261.56,780955927779.5801,0.058461928051906885,70.15431366228826
2025,6,Mar,54324260801.22,780955927779.5801,0.06956123754086246,83.47348504903496
2025,7,Apr,55568822511.020004,780955927779.5801,0.0711548763948994,85.38585167387927
2025,8,May,59788025785.840004,780955927779.5801,0.07655749019772445,91.86898823726935
2025,9,Jun,62871505639.42,780955927779.5801,0.08050583061476561,96.60699673771873
2025,10,Jul,71860139185.81,780955927779.5801,0.09201561397980972,110.41873677577165
2025,11,Aug,70126161229.52,780955927779.5801,0.08979528643684573,107.75434372421486
2025,12,Sep,148519037752.02,780955927779.5801,0.19017595291745906,228.2111435009509
