fiscal_year,rate,series,sort_order,rate_pct
2021,0.6551371551948592,Government-wide,0,65.51371551948591
2022,0.7004591818829748,Government-wide,0,70.04591818829749
2023,0.6780938113289383,Government-wide,0,67.80938113289383
2024,0.702849373195229,Government-wide,0,70.2849373195229
2025,0.6631740784699914,Government-wide,0,66.31740784699915
2021,0.5321013391418188,Department of Defense,1,53.21013391418188
2022,0.5949946017370934,Department of Defense,1,59.49946017370934
2023,0.5510520349000458,Department of Defense,1,55.105203490004584
2024,0.579986892979744,Department of Defense,1,57.9986892979744
2025,0.5273240697137037,Department of Defense,1,52.732406971370374
2021,0.8482060493262638,All other agencies,2,84.82060493262638
2022,0.8645355931607502,All other agencies,2,86.45355931607503
2023,0.8784009729798903,All other agencies,2,87.84009729798903
2024,0.8886266868618651,All other agencies,2,88.86266868618651
2025,0.894906203593055,All other agencies,2,89.4906203593055
