agency_name,prior_year,obligations,change_abs,change_bn,change_pct,change_pct_real,direction
Department of Defense,446045331581.31,491685487925.19,45640156343.880005,45.64015634388001,10.23217890927757,7.418129890620549,Increase
Department of Veterans Affairs,66875573383.34,78313337208.43,11437763825.089996,11.437763825089997,17.103051602305015,14.113600330418066,Increase
Department of Health and Human Services,29868609670.72,21290230376.02,-8578379294.700001,-8.578379294700001,-28.720383671253803,-30.540036846623224,Decrease
Department of Homeland Security,23607875688.36,28336601669.43,4728725981.07,4.728725981069999,20.03029007561881,16.966111145849094,Increase
Agency for International Development,7444753388.62,4099062195.34,-3345691193.2799997,-3.3456911932799995,-44.94025548776674,-46.345841601960075,Decrease
Department of Housing and Urban Development,1525527557.97,-1331998929.39,-2857526487.36,-2.85752648736,-187.3139867209265,-185.085002035345,Decrease
General Services Administration,26502128197.23,23810677070.15,-2691451127.079998,-2.691451127079998,-10.15560375774391,-12.449185700684847,Decrease
Department of Energy,46043810154.91,48549337828.87,2505527673.959999,2.505527673959999,5.4416167244422,2.7498630005751488,Increase
Department of Agriculture,11597506288.99,9569572358.2,-2027933930.789999,-2.027933930789999,-17.485948101750132,-19.592398224275488,Decrease
Department of State,11655552530.72,9865475459.76,-1790077070.959999,-1.7900770709599991,-15.358148541152175,-17.518917940722105,Decrease
Department of the Interior,8121263990.93,6554582845.32,-1566681145.6100006,-1.5666811456100007,-19.291099850462974,-21.35146737208852,Decrease
Department of Commerce,5185009413.32,4158787229.18,-1026222184.1399999,-1.0262221841399999,-19.792098766565253,-21.839676597175387,Decrease
Department of Justice,9399809214.82,8531620050.47,-868189164.3499994,-0.8681891643499994,-9.23624240140096,-11.55329415096467,Decrease
National Aeronautics and Space Administration,15016134539.27,15782680383.9,766545844.6299992,0.7665458446299992,5.104814708641151,2.421658994823657,Increase
